code,coding_system,description,entity,list_name,upload_date,medcode,CharlsonCategory
2G5W.00,Read,o/e - left chronic diabetic foot ulcer,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,49640,Diabetes with end organ damage
2G63.00,Read,ischaemic toe,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,9561,PVD
323..00,Read,ecg: myocardial infarction,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,7783,MI
323Z.00,Read,ecg: myocardial infarct nos,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,59032,MI
43aA.00,Read,pm-1 - polymyositis-scleroderma antibody level,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,57217,Connective tissue disease
43C3.00,Read,htlv-3 antibody positive,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,540,HIV/AIDS
43C3.11,Read,hiv positive,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,2835,HIV/AIDS
4C53.00,Read,bone marrow: myeloma cells,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,52946,"Any tumour, leukaemia, lymphoma"
4D56.00,Read,pleural fluid: malignant cells,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,49341,Metastatic tumour
4F32.00,Read,ascitic fluid: malignant cells,diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,13575,Metastatic tumour
4M00.00,Read,gleason prostate grade 2-4 (low),diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,18503,"Any tumour, leukaemia, lymphoma"
4M01.00,Read,gleason prostate grade 5-7 (medium),diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,18612,"Any tumour, leukaemia, lymphoma"
4M02.00,Read,gleason prostate grade 8-10 (high),diagnostic,1047 - res195: Comorbidity (CCI) - GOLD,2022-08-15,26081,"Any tumour, leukaemia, lymphoma"
